gender,percentage,source
Femenino,39.588417214589555,EMICRON
Masculino,60.411582785410445,EMICRON
Femenino,85.22637013502779,ZASCA
Masculino,14.694201747418587,ZASCA
No binario,0.07942811755361398,ZASCA
