age_bin,type,percentage,source,plot_value,color_category
18-24,common,0.0322180916976456,EMICRON,3.2218091697645597,EMICRON_common
18-24,EMICRON_excess,0.008353921715579686,EMICRON,0.8353921715579686,EMICRON_EMICRON
18-24,common,0.0322180916976456,ZASCA,-3.2218091697645597,ZASCA_common
25-34,common,0.14639833185752293,EMICRON,14.639833185752293,EMICRON_common
25-34,common,0.14639833185752293,ZASCA,-14.639833185752293,ZASCA_common
25-34,ZASCA_excess,0.03410559214082487,ZASCA,-3.410559214082487,ZASCA_ZASCA
35-44,common,0.21700604969409382,EMICRON,21.700604969409383,EMICRON_common
35-44,common,0.21700604969409382,ZASCA,-21.700604969409383,ZASCA_common
35-44,ZASCA_excess,0.08700055914522875,ZASCA,-8.700055914522874,ZASCA_ZASCA
45-54,common,0.23595257746735843,EMICRON,23.595257746735843,EMICRON_common
45-54,common,0.23595257746735843,ZASCA,-23.595257746735843,ZASCA_common
45-54,ZASCA_excess,0.0490536183195065,ZASCA,-4.90536183195065,ZASCA_ZASCA
55-64,common,0.15654688145394466,EMICRON,15.654688145394466,EMICRON_common
55-64,EMICRON_excess,0.05946221774979532,EMICRON,5.9462217749795325,EMICRON_EMICRON
55-64,common,0.15654688145394466,ZASCA,-15.654688145394466,ZASCA_common
65-74,common,0.040892193308550186,EMICRON,4.089219330855019,EMICRON_common
65-74,EMICRON_excess,0.0784594420796915,EMICRON,7.84594420796915,EMICRON_EMICRON
65-74,common,0.040892193308550186,ZASCA,-4.089219330855019,ZASCA_common
75-99,common,0.0008261049153242462,EMICRON,0.08261049153242463,EMICRON_common
75-99,EMICRON_excess,0.023884188060493777,EMICRON,2.3884188060493776,EMICRON_EMICRON
75-99,common,0.0008261049153242462,ZASCA,-0.08261049153242463,ZASCA_common
