COD_DEPTO,emicron_population,zasca_count,isem_score,dept_name,zasca_proportion_codigo,emicron_proportion_codigo,representation_ratio,status
17,6710.23377716841,150.0,4.88,Caldas,5.530973451327434,1.7106210577269139,3.2333130861121475,Mayor
68,24349.13635021818,315.0,4.71,Santander,11.61504424778761,6.207256969178722,1.8712040286813498,Mayor
5,65811.4442544532,659.0,5.54,Antioquia,24.299410029498524,16.777126717125277,1.4483654107884198,Mayor
11,67777.52815860283,576.0,6.42,"Bogotá, D.C.",21.238938053097346,17.278334966998727,1.229223654574546,Mayor
8,40312.8305211767,303.0,4.37,Atlántico,11.172566371681416,10.276836705859285,1.0871600562954782,Mayor
66,6778.577722564756,49.0,4.51,Risaralda,1.8067846607669618,1.7280437878501056,1.0455664801265363,Mayor
54,10919.506503337872,76.0,3.74,Norte De Santander,2.8023598820058995,2.783679136210063,1.0067108114411742,Mayor
76,46015.47094143925,275.0,4.69,Valle Del Cauca,10.140117994100295,11.730594817944349,0.8644163532601865,Menor
73,9098.310422570483,49.0,3.89,Tolima,1.8067846607669618,2.319406732376608,0.7789856929990101,Menor
13,29451.701035860522,116.0,4.14,Bolívar,4.277286135693215,7.508039458959098,0.5696941470638209,Menor
44,40103.073176909944,88.0,2.8,La Guajira,3.2448377581120944,10.223363854982397,0.31739433362050495,Menor
52,25175.78121017753,52.0,3.86,Nariño,1.9174041297935103,6.417991222509743,0.29875455782311167,Menor
15,12212.336356754342,0.0,4.49,,0.0,3.1132566211014225,,no_zasca_data
18,3376.0705310063013,0.0,2.86,,0.0,0.8606521820984422,,no_zasca_data
19,17080.688390980584,0.0,3.67,,0.0,4.354331937211986,,no_zasca_data
20,14486.40590508657,0.0,2.67,,0.0,3.6929787865718158,,no_zasca_data
23,40035.46120527407,0.0,3.19,,0.0,10.206127724874934,,no_zasca_data
27,1238.5481786905332,0.0,2.9,,0.0,0.31573960995013023,,no_zasca_data
41,7229.207882951169,0.0,3.09,,0.0,1.842921669486167,,no_zasca_data
47,17281.000934433152,0.0,3.24,,0.0,4.405397051533741,,no_zasca_data
50,9222.013722857355,0.0,3.42,,0.0,2.3509420674197834,,no_zasca_data
63,3196.162878170249,0.0,3.63,,0.0,0.8147888292545058,,no_zasca_data
70,14158.101708631066,0.0,2.37,,0.0,3.609285119488597,,no_zasca_data
