COD_DEPTO,zasca_count,isem_score,dept_name
76.0,160,4.69,Valle Del Cauca
5.0,114,5.54,Antioquia
19.0,110,3.67,Cauca
15.0,85,4.49,Boyacá
41.0,73,3.09,Huila
47.0,70,3.24,Magdalena
68.0,47,4.71,Santander
63.0,40,3.63,Quindío
66.0,37,4.51,Risaralda
18.0,35,2.86,Caquetá
52.0,35,3.86,Nariño
17.0,34,4.88,Caldas
13.0,33,4.14,Bolívar
