gender,percentage,source
Femenino,23.051566644454248,EMICRON
Masculino,76.94843335554576,EMICRON
Femenino,51.99222546161322,ZASCA
Masculino,47.8134110787172,ZASCA
No binario,0.09718172983479105,ZASCA
Prefiero no decir,0.09718172983479105,ZASCA
